,original_id,code_id
0,ECLI_CZ_NS_2009_32.CDO.2295.2008.1.xmi,0
1,ECLI_CZ_NS_2006_4.TZ.99.2006.1.xmi,1
2,ECLI_CZ_NS_2006_21.CDO.109.2006.1.xmi,2
3,648090.xmi,3
4,ECLI_CZ_NS_2000_30.CDO.1431.2000.1.xmi,4
5,ECLI_CZ_NS_2015_8.TDO.1337.2015.1.xmi,5
6,ECLI_CZ_NS_2015_32.CDO.15.2013.1.xmi,6
7,ECLI_CZ_NS_2000_30.CDO.1593.2000.1.xmi,7
8,245756.xmi,8
9,ECLI_CZ_NS_2006_29.OD.57.2005.1.xmi,9
10,634364.xmi,10
11,ECLI_CZ_NS_2000_4.TVO.99.2000.1.xmi,11
12,ECLI_CZ_NS_2021_6.TZ.96.2021.1.xmi,12
13,ECLI_CZ_NS_2003_29.ODO.238.2003.1.xmi,13
14,ECLI_CZ_NS_2015_31.CDO.3093.2013.1.xmi,14
15,ECLI_CZ_NS_2006_30.CDO.1746.2006.1.xmi,15
16,710601.xmi,16
17,ECLI_CZ_NS_2000_23.CDO.1248.2000.1.xmi,17
18,ECLI_CZ_NS_2018_20.CDO.425.2018.1.xmi,18
19,ECLI_CZ_NS_2009_5.TDO.654.2009.1.xmi,19
20,ECLI_CZ_NS_2006_5.TDO.97.2006.1.xmi,20
21,672676.html.xmi,21
22,ECLI_CZ_NS_2000_3.TZ.239.2000.1.xmi,22
23,ECLI_CZ_NS_2012_3.TDO.425.2012.1.xmi,23
24,240360.xmi,24
25,647808.xmi,25
26,624148.xmi,26
27,ECLI_CZ_NS_2015_8.TDO.627.2015.1.xmi,27
28,ECLI_CZ_NS_2003_32.OD.68.2003.1.xmi,28
29,ECLI_CZ_NS_2021_29.CDO.167.2021.1.xmi,29
30,ECLI_CZ_NS_2000_11.TCU.32.2000.1.xmi,30
31,658691.xmi,31
32,ECLI_CZ_NS_2003_22.CDO.77.2003.1.xmi,32
33,ECLI_CZ_NS_2023_3.TZ.136.2022.1.xmi,33
34,ECLI_CZ_NS_2000_25.CDO.675.99.1.xmi,34
35,239275.xmi,35
36,ECLI_CZ_NS_2009_8.TDO.83.2009.1.xmi,36
37,ECLI_CZ_NS_2009_5.TDO.1337.2009.1.xmi,37
38,238976.xmi,38
39,674747.xmi,39
40,ECLI_CZ_NS_2009_4.ND.220.2009.1.xmi,40
41,ECLI_CZ_NS_2000_5.TZ.227.2000.1.xmi,41
42,238235.xmi,42
43,634834.xmi,43
44,ECLI_CZ_NS_2003_4.TZ.66.2003.1.xmi,44
45,ECLI_CZ_NS_2023_22.CDO.36.2023.1.xmi,45
46,ECLI_CZ_NS_2003_29.ODO.796.2002.1.xmi,46
47,ECLI_CZ_NS_2003_29.ODO.10.2003.1.xmi,47
48,ECLI_CZ_NS_2015_26.CDO.108.2015.1.xmi,48
49,244274.xmi,49
50,ECLI_CZ_NS_2006_28.CDO.2885.2005.1.xmi,50
51,ECLI_CZ_NS_2015_29.CDO.284.2015.1.xmi,51
52,ECLI_CZ_NS_2015_26.CDO.3862.2015.1.xmi,52
53,ECLI_CZ_NS_1997_3.CDON.152.96.1.xmi,53
54,ECLI_CZ_NS_1997_2.CDON.992.97.1.xmi,54
55,ECLI_CZ_NS_2021_7.TD.14.2021.1.xmi,55
56,ECLI_CZ_NS_2021_29.ICDO.1.2021.1.xmi,56
57,ECLI_CZ_NS_2021_23.CDO.1056.2020.1.xmi,57
58,ECLI_CZ_NS_2006_22.CDO.1987.2005.1.xmi,58
59,ECLI_CZ_NS_2006_29.OD.86.2005.1.xmi,59
60,ECLI_CZ_NS_2023_33.CDO.717.2022.1.xmi,60
