,ID,Text,Logits,Predicted Labels,Gold Labels
0,623534.html.xmi_0,1 Afs 17/2011- 94 - text,[-13.25   -14.6875 -17.     -14.375  -16.375  -16.375  -26.75   -19.625 ],00000000,00000000
1,623534.html.xmi_1,1 Afs 17/2011 - 102,[-13.375  -14.8125 -17.5    -14.     -15.6875 -16.     -26.375  -19.25  ],00000000,00000000
2,623534.html.xmi_2,[OBRÁZEK],[-13.3125 -15.     -17.875  -13.8125 -15.4375 -16.     -26.25   -19.    ],00000000,00000000
3,623534.html.xmi_3,ČESKÁ REPUBLIKA,[-13.4375 -14.875  -18.125  -13.625  -15.125  -15.9375 -26.     -18.75  ],00000000,00000000
4,623534.html.xmi_4,R O Z S U D E K,[-13.5    -14.6875 -18.     -13.75   -15.1875 -15.9375 -26.25   -19.    ],00000000,00000000
5,623534.html.xmi_5,J M É N E M R E P U B L I K Y,[-13.5    -14.625  -18.     -13.6875 -15.1875 -15.9375 -26.125  -19.    ],00000000,00000000
6,623534.html.xmi_6,"Nejvyšší správní soud rozhodl v senátu složeném z předsedy JUDr. Josefa Baxy a soudců JUDr. Lenky Kaniové a JUDr. Zdeňka Kühna v právní věci žalobce: Behr Czech s. r. o., se sídlem Víta Nejedlého 1471, Mnichovo Hradiště, zastoupen Mgr. Davidem Hejzlarem, advokátem se sídlem 1. Máje 97, Liberec, proti žalovanému: Finanční ředitelství v Praze, se sídlem Žitná 12, Praha 2, o žalobě proti rozhodnutí Finančního ředitelství v Praze ze dne 6. 3. 2008, č. j. 777/08-1200-203335, v řízení o kasační stížnosti žalobce proti rozsudku Městského soudu v Praze ze dne 26. 4. 2010, č. j. 10 Ca 113/2008 - 53,",[-13.5    -14.5    -17.875  -13.8125 -15.5625 -16.     -26.5    -19.25  ],00000000,00000000
7,623534.html.xmi_7,t a k t o :,[-13.3125 -14.625  -17.625  -14.     -15.875  -16.125  -26.5    -19.375 ],00000000,00000000
8,623534.html.xmi_8,I. Kasační stížnost s e z a m í t á .,[-13.625  -14.3125 -18.125  -13.5    -15.     -16.     -26.25   -19.    ],00000000,00000000
9,623534.html.xmi_9,II. Žalobce n e m á právo na náhradu nákladů řízení o kasační stížnosti.,[-13.25   -15.     -18.25   -13.5625 -15.     -16.     -26.125  -18.625 ],00000000,00000000
10,623534.html.xmi_10,III. Žalovanému s e náhrada nákladů řízení n e p ř i z n á v á .,[-13.5625 -14.5625 -18.125  -13.4375 -15.     -15.9375 -26.25   -19.    ],00000000,00000000
11,623534.html.xmi_11,O d ů v o d n ě n í :,[-13.5625 -14.4375 -18.     -13.625  -15.25   -16.     -26.25   -19.125 ],00000000,00000000
12,623534.html.xmi_12,I.,[-12.6875 -15.4375 -16.875  -14.75   -16.875  -16.5    -26.75   -19.375 ],00000000,00000000
13,623534.html.xmi_13,Vymezení věci,[-13.     -15.3125 -17.875  -13.9375 -15.5625 -16.125  -26.25   -18.625 ],00000000,00000000
14,623534.html.xmi_14,"[1] Společnost s ručením omezeným Behr Czech s. r. o. (dále jen „žalobce“) je nositelem investiční pobídky udělené rozhodnutím ministra průmyslu a obchodu 260/2003 ze dne 16. 12. 2003. Jedná se o investiční pobídku slevy na dani z příjmu, dle § 1 odst. 2 písm. a) zákona č. 72/2000 Sb., o investičních pobídkách (dále jen zákon o investičních pobídkách) a § 35b zákona č. 586/1992 Sb., o daních z příjmu (dále jen „zákon o daních z příjmu).",[-13.6875 -14.0625 -17.75   -13.6875 -15.5    -15.9375 -26.625  -19.5   ],00000000,00000000
15,623534.html.xmi_15,"[2] Dne 2. 7. 2007 podal žalobce dodatečné daňové přiznání z příjmu právnických osob za zdaňovací období roku 2005, ve kterém snížil základ daně o odpisy hmotného a nehmotného majetku stanovené dle § 26 až § 33 zákona o daních z příjmu a dodatečně přiznal daň z příjmu fyzických osob ve výši 17 787 899 Kč. V řádném daňovém přiznání za toto období ze dne 30. 6. 2011 byla daňová povinnost nulová.",[-13.4375 -14.625  -17.875  -13.8125 -15.5625 -16.25   -26.5    -19.    ],00000000,00000000
