Experiment,Type,LIN,SI,CL,D,HI,PL,TI,PC,Macro Avg,LIN_Std,SI_Std,CL_Std,D_Std,HI_Std,PL_Std,TI_Std,PC_Std,Macro Avg_Std
paragraph-multilabel-llama-base-full-finetune-asy,Positive,57.57,34.8,79.47,63.89,36.24,74.77,55.07,46.94,56.09,0.05,0.04,0.02,0.13,0.19,0.04,0.04,0.05,0.07
paragraph-multilabel-llama-base-full-finetune-asy,Negative,99.36,98.3,98.45,99.83,99.58,98.72,98.24,99.13,98.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paragraph-multilabel-llama-base-full-finetune-asy,Average,78.47,66.55,88.96,81.86,67.91,86.75,76.66,73.03,77.52,0.03,0.02,0.01,0.06,0.1,0.02,0.02,0.02,0.04
peft_multi_label_base_asy,Positive,0.0,1.61,18.9,0.0,0.87,3.31,1.54,3.15,3.67,0.0,0.03,0.1,0.0,0.01,0.04,0.02,0.03,0.03
peft_multi_label_base_asy,Negative,97.55,97.44,90.8,96.43,97.33,93.95,94.62,96.44,95.57,0.01,0.01,0.03,0.03,0.01,0.01,0.01,0.01,0.02
peft_multi_label_base_asy,Average,48.77,49.52,54.85,48.22,49.1,48.63,48.08,49.8,49.62,0.01,0.01,0.06,0.01,0.01,0.01,0.0,0.01,0.02
paragraph-multilabel-llama-base-bce,Positive,41.35,30.27,81.7,75.0,14.07,75.37,48.23,34.68,50.08,0.04,0.08,0.02,0.0,0.12,0.01,0.09,0.09,0.06
paragraph-multilabel-llama-base-bce,Negative,99.52,98.94,98.75,99.91,99.63,98.91,98.61,99.36,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paragraph-multilabel-llama-base-bce,Average,70.43,64.6,90.23,87.45,56.85,87.14,73.42,67.02,74.64,0.02,0.04,0.01,0.0,0.06,0.01,0.04,0.05,0.03
peft_multi_label_base,Positive,0.81,4.28,17.57,0.0,3.44,6.1,4.37,2.71,4.91,0.01,0.05,0.04,0.0,0.05,0.03,0.01,0.02,0.03
peft_multi_label_base,Negative,94.21,92.09,80.63,92.27,93.3,79.25,84.73,88.07,88.07,0.02,0.04,0.08,0.04,0.05,0.07,0.07,0.03,0.05
peft_multi_label_base,Average,47.51,48.19,49.1,46.14,48.37,42.68,44.55,45.39,46.49,0.02,0.01,0.06,0.02,0.03,0.03,0.03,0.02,0.03
paragraph-multilabel-llama-cpt-full-finetune-asy,Positive,56.28,37.04,78.17,67.22,19.41,70.72,57.59,42.99,53.68,0.07,0.03,0.04,0.08,0.22,0.05,0.0,0.03,0.06
paragraph-multilabel-llama-cpt-full-finetune-asy,Negative,99.36,98.41,98.26,99.86,99.46,98.45,98.26,99.0,98.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paragraph-multilabel-llama-cpt-full-finetune-asy,Average,77.82,67.72,88.21,83.54,59.44,84.58,77.92,70.99,76.28,0.04,0.01,0.02,0.04,0.11,0.02,0.0,0.01,0.03
peft_multi_label_cpt_asy,Positive,0.0,1.08,13.7,0.0,2.44,2.34,1.65,1.71,2.86,0.0,0.02,0.07,0.0,0.04,0.01,0.03,0.03,0.02
peft_multi_label_cpt_asy,Negative,98.66,97.55,90.94,97.79,98.2,92.9,96.16,98.38,96.32,0.0,0.01,0.01,0.01,0.02,0.02,0.01,0.0,0.01
peft_multi_label_cpt_asy,Average,49.33,49.31,52.32,48.89,50.32,47.62,48.9,50.04,49.59,0.0,0.01,0.04,0.01,0.01,0.01,0.02,0.01,0.01
paragraph-multilabel-llama-cpt-bce,Positive,36.76,16.59,80.99,75.0,0.0,75.85,51.37,26.19,45.34,0.01,0.09,0.01,0.0,0.0,0.03,0.03,0.05,0.03
paragraph-multilabel-llama-cpt-bce,Negative,99.52,98.78,98.74,99.91,99.57,98.94,98.69,99.3,99.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paragraph-multilabel-llama-cpt-bce,Average,68.14,57.69,89.86,87.45,49.78,87.4,75.03,62.75,72.26,0.01,0.04,0.01,0.0,0.0,0.01,0.02,0.03,0.02
peft_multi_label_cpt,Positive,0.0,6.22,17.39,0.0,2.28,7.23,2.06,0.7,4.49,0.0,0.07,0.06,0.0,0.02,0.03,0.02,0.01,0.03
peft_multi_label_cpt,Negative,97.08,93.64,82.16,91.12,92.18,83.54,89.99,95.68,90.67,0.01,0.03,0.07,0.09,0.06,0.04,0.07,0.01,0.05
peft_multi_label_cpt,Average,48.54,49.93,49.78,45.56,47.23,45.38,46.03,48.19,47.58,0.01,0.03,0.06,0.04,0.02,0.02,0.03,0.01,0.03
paragraph-multilabel-modernbert-cpt-asy,Positive,29.94,32.69,75.11,59.26,21.93,63.16,39.52,33.59,44.4,0.1,0.05,0.03,0.13,0.06,0.03,0.06,0.15,0.08
paragraph-multilabel-modernbert-cpt-asy,Negative,99.1,98.44,98.19,99.83,99.3,98.13,97.95,99.25,98.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paragraph-multilabel-modernbert-cpt-asy,Average,64.52,65.57,86.65,79.54,60.62,80.64,68.74,66.42,71.59,0.05,0.02,0.02,0.06,0.03,0.01,0.03,0.08,0.04
paragraph-multilabel-modernbert-cpt-bce,Positive,9.34,13.26,67.41,28.59,3.42,49.17,37.36,12.73,27.66,0.03,0.12,0.04,0.25,0.03,0.07,0.03,0.03,0.08
paragraph-multilabel-modernbert-cpt-bce,Negative,97.02,97.79,97.84,98.83,98.72,98.19,97.72,98.32,98.05,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0
paragraph-multilabel-modernbert-cpt-bce,Average,53.18,55.53,82.62,63.71,51.07,73.68,67.54,55.53,62.86,0.01,0.05,0.02,0.13,0.01,0.04,0.02,0.02,0.04
paragraph-multilabel-modernbert-large-asy,Positive,19.36,17.82,67.54,67.22,23.33,48.46,32.25,11.39,35.92,0.08,0.01,0.02,0.08,0.25,0.03,0.05,0.1,0.08
paragraph-multilabel-modernbert-large-asy,Negative,99.26,98.26,97.5,99.86,99.6,97.76,97.71,99.05,98.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paragraph-multilabel-modernbert-large-asy,Average,59.31,58.04,82.52,83.54,61.47,73.11,64.98,55.22,67.27,0.04,0.01,0.01,0.04,0.13,0.02,0.03,0.05,0.04
paragraph-multilabel-modernbert-large,Positive,9.57,5.89,69.72,24.44,9.26,49.12,27.74,9.96,25.71,0.1,0.01,0.05,0.21,0.08,0.08,0.06,0.09,0.08
paragraph-multilabel-modernbert-large,Negative,99.18,98.49,98.02,99.83,99.38,98.14,98.04,98.9,98.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paragraph-multilabel-modernbert-large,Average,54.37,52.19,83.87,62.14,54.32,73.63,62.89,54.43,62.23,0.05,0.0,0.03,0.11,0.04,0.04,0.03,0.05,0.04
