,ID,Logits,Predicted Labels,Gold Labels
0,623534.html.xmi,[ 1.1875    -1.3515625],0,0
1,624440.xmi,[ 0.11914062 -0.68359375],0,0
2,710054.xmi,[-0.04150391  0.47851562],1,0
3,ECLI_CZ_NS_2018_29.CDO.572.2018.1.xmi,[-1.6015625  1.328125 ],1,1
4,ECLI_CZ_NS_2003_20.CDO.1981.2002.1.xmi,[-0.44335938  0.70703125],1,1
5,ECLI_CZ_NS_2003_33.ODO.9.2003.1.xmi,[-1.1484375  1.2421875],1,1
6,ECLI_CZ_NS_2018_23.CDO.5145.2017.1.xmi,[ 0.79296875 -0.94921875],0,1
7,ECLI_CZ_NS_2012_3.TZ.80.2012.1.xmi,[-0.30078125  0.5625    ],1,1
8,ECLI_CZ_NS_2009_29.ODO.988.2006.1.xmi,[-0.08642578  0.20214844],1,0
9,ECLI_CZ_NS_2000_26.CDO.1115.2000.1.xmi,[-0.48046875  1.0078125 ],1,1
10,ECLI_CZ_NS_2021_27.CDO.754.2020.2.xmi,[ 0.57421875 -0.55859375],0,1
11,ECLI_CZ_NS_1997_2.ODON.41.97.1.xmi,[-1.0859375  1.6015625],1,1
12,ECLI_CZ_NS_2003_4.TZ.13.2003.1.xmi,[-0.75390625  0.32226562],1,0
13,ECLI_CZ_NS_2018_28.NCU.43.2018.1.xmi,[-1.375     0.953125],1,1
14,714509.xmi,[ 1.4765625 -1.1953125],0,0
15,ECLI_CZ_NS_2018_27.CDO.1950.2017.1.xmi,[ 0.859375   -0.49414062],0,0
16,ECLI_CZ_NS_2009_8.TDO.1596.2008.1.xmi,[ 0.21289062 -0.90234375],0,0
17,ECLI_CZ_NS_2021_33.CDO.3027.2020.1.xmi,[ 0.49023438 -0.34765625],0,1
18,ECLI_CZ_NS_2015_4.TZ.18.2015.1.xmi,[ 0.82421875 -0.53125   ],0,0
19,246118.xmi,[ 1.34375    -0.97265625],0,1
20,ECLI_CZ_NS_2018_7.TDO.94.2018.1.xmi,[ 0.37890625 -0.5078125 ],0,0
21,635665.xmi,[-1.28125    1.5703125],1,1
22,239085.html.xmi,[-0.62109375  1.2578125 ],1,1
23,635275.xmi,[ 0.8984375 -1.0546875],0,0
24,ECLI_CZ_NS_2003_21.CDO.850.2002.1.xmi,[-0.00872803  0.36328125],1,1
25,614872.xmi,[-0.9765625  1.609375 ],1,1
26,ECLI_CZ_NS_2009_4.ND.244.2009.1.xmi,[ 0.10595703 -0.11523438],0,0
27,ECLI_CZ_NS_2006_33.ODO.1377.2004.1.xmi,[-0.11865234  0.36132812],1,1
28,636184.xmi,[-1.1875   1.53125],1,1
